id,brand,model,year,source_country,mileage_min,mileage_max,source_marketplace,target_country,target_marketplace,target_search_url,pricing_strategy,last_computed_target_export_price_eur,last_computed_target_export_price_at,notes,source_search_url
MS_KIA_CEED_2019_FR,KIA,CEED,2019,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_Ceed&regdate=2019-2019&mileage=min-40000&sort=price&order=asc
MS_KIA_CEED_2020_FR,KIA,CEED,2020,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_Ceed&regdate=2020-2020&mileage=min-40000&sort=price&order=asc
MS_KIA_CEED_2021_FR,KIA,CEED,2021,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_Ceed&regdate=2021-2021&mileage=min-40000&sort=price&order=asc
MS_KIA_CEED_2022_FR,KIA,CEED,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_Ceed&regdate=2022-2022&mileage=min-40000&sort=price&order=asc
MS_KIA_NIRO_2018_FR,KIA,NIRO,2018,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_Niro&fuel=6&regdate=201-2018&mileage=min-40000&sort=price&order=asc
MS_KIA_NIRO_2022_FR,KIA,NIRO,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_Niro&fuel=6&regdate=2022-2022&mileage=min-40000&sort=price&order=asc
MS_KIA_PICANTO_2017_FR,KIA,PICANTO,2017,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_Picanto&mileage=min-40000&regdate=2017-2017&sort=price&order=asc
MS_KIA_PICANTO_2019_FR,KIA,PICANTO,2019,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_Picanto&mileage=min-40000&regdate=2019-2019&sort=price&order=asc
MS_KIA_PICANTO_2020_FR,KIA,PICANTO,2020,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_Picanto&mileage=min-40000&regdate=2020-2020&sort=price&order=asc
MS_KIA_PICANTO_2021_FR,KIA,PICANTO,2021,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_Picanto&mileage=min-40000&regdate=2021-2021&sort=price&order=asc
MS_KIA_PICANTO_2022_FR,KIA,PICANTO,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_Picanto&mileage=min-40000&regdate=2022-2022&sort=price&order=asc
MS_KIA_PROCEED_2019_FR,KIA,PRO CEED,2019,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_ProCeed&regdate=2019-2019&mileage=min-40000&sort=price&order=asc
MS_KIA_PROCEED_2020_FR,KIA,PRO CEED,2020,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_ProCeed&regdate=2020-2020&mileage=min-40000&sort=price&order=asc
MS_KIA_PROCEED_2021_FR,KIA,PRO CEED,2021,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_ProCeed&regdate=2021-2021&mileage=min-40000&sort=price&order=asc
MS_KIA_PROCEED_2022_FR,KIA,PRO CEED,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_ProCeed&regdate=2022-2022&mileage=min-40000&sort=price&order=asc
MS_KIA_PICANTO_2018_FR,KIA,Picanto,2018,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_Picanto&mileage=min-40000&regdate=2018-2018&sort=price&order=asc
MS_KIA_PROCEED_2022_FR,KIA,Proceed,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_ProCeed&regdate=2022-2022&mileage=min-40000&sort=price&order=asc
MS_KIA_RIO_2021_FR,KIA,RIO,2021,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_Rio&fuel=6&regdate=2021-2021&mileage=min-40000&sort=price&order=asc
MS_KIA_RIO_2022_FR,KIA,RIO,2022,FR,40000,0,leboncoin,,,,,,,,https://www.leboncoin.fr/recherche?category=2&u_car_brand=KIA&u_car_model=KIA_Rio&fuel=6&regdate=2022-2022&mileage=min-40000&sort=price&order=asc
